system,dataset,F1@20ms (%),F1@50ms (%),AAS (ms),%>50ms,PER (%),N_ref,n_files
whisper->CTC,rhap,41.56619562461099,80.55741257290394,51.852970485273055,25.87115725092548,19.08894190756256,90115,56
whisper->CTC,mon,32.77467411545623,68.90130353817504,80.0722906976749,39.53488372093023,24.100719424460433,278,0
whisper->CTC,cereb,23.784722222222225,66.84027777777777,112.64912488722176,59.49781659388647,26.109215017064848,586,0
whisper->CTC,sla,32.432432432432435,75.47547547547548,98.70509739030638,46.42857142857143,40.54054054054054,518,0
whisper->CTC,park,27.89518174133559,76.41589180050718,72.28938473424247,46.79752066115703,21.895424836601308,612,0
whisper->CTC,ctrl,28.233305156382084,75.06339814032123,466.7260799701335,44.74226804123712,27.500000000000004,560,0
whisper->MFA,rhap,71.45853984646948,87.61728025081261,39.617453390739726,11.13860722141746,19.08894190756256,90115,56
whisper->MFA,mon,49.883449883449885,75.29137529137529,97.43421884619008,23.887240356083087,26.95852534562212,434,0
whisper->MFA,cereb,60.03521126760564,77.11267605633803,64.54694748713953,20.774647887323944,31.42361111111111,576,0
whisper->MFA,sla,47.924528301886795,64.33962264150944,115.15758848580252,34.25655976676385,43.31550802139038,561,0
whisper->MFA,park,83.06010928961747,91.98542805100185,27.303977137628777,4.784688995215311,30.29197080291971,548,0
whisper->MFA,ctrl,75.06339814032123,88.08114961961115,433.18228520262664,14.22680412371134,27.500000000000004,560,0
w2v->CTC,rhap,53.96697774587223,84.61852117731515,38.398940275253075,20.322643469228773,16.309160517117014,90115,56
w2v->CTC,mon,38.34586466165413,72.18045112781955,61.55068385650223,38.56502242152467,20.503597122302157,278,0
w2v->CTC,cereb,26.759339704604695,64.81320590790617,74.80507288861135,39.91596638655462,22.35494880546075,586,0
w2v->CTC,sla,43.556443556443554,74.12587412587412,41.8854823958073,26.31578947368421,34.36293436293436,518,0
w2v->CTC,park,38.87945670628184,78.09847198641765,38.858969850009146,24.543610547667345,20.09803921568627,612,0
w2v->CTC,ctrl,40.340425531914896,75.40425531914893,618.1302557145387,31.92148760330579,26.96428571428571,560,0
w2v->MFA,rhap,71.75994256999282,87.9770279971285,42.48352548039461,11.232147494157362,16.309160517117014,90115,56
w2v->MFA,mon,53.191489361702125,75.41371158392435,95.69382050722824,23.80281690140845,20.04608294930875,434,0
w2v->MFA,cereb,62.11723534558181,78.91513560804898,84.14133245717018,19.759825327510917,25.0,576,0
w2v->MFA,sla,44.724104549854786,62.92352371732818,109.45781947091218,36.235955056179776,38.50267379679144,561,0
w2v->MFA,park,80.83560399636693,92.09809264305176,28.611627953307337,4.666666666666667,24.45255474452555,548,0
w2v->MFA,ctrl,75.40425531914893,88.0,599.2603249823513,16.83884297520661,26.96428571428571,560,0
wavlm->CTC,rhap,42.56494854875179,80.44506483318722,56.39638924231362,27.740904621435597,15.540143150418908,90115,56
wavlm->CTC,mon,30.22388059701492,65.29850746268657,99.20196870394204,46.56652360515021,17.26618705035971,278,0
