system,dataset,PER (%),F1@20ms (%),F1@50ms (%),AAS (ms),MedianBE (ms),onset_bias (ms),offset_bias (ms),N_ref,n_files
whisper->CTC,rhap,19.08894190756256,41.55579362062411,78.60409395122738,35.894538425589595,32.31250000001751,31.178940839695024,51.48822250295701,90115,53
whisper->CTC,mon,21.70175209205021,30.43865141877863,67.51474804732558,46.92637471583741,43.20750000000029,45.08584510675454,81.57121140566716,30592,68
whisper->CTC,cereb,28.141809290953542,21.506182090670663,61.696015986012235,60.40139164087128,56.593076701936695,57.215608822200906,97.05802447435474,4090,7
whisper->CTC,sla,41.510318949343336,17.680655574869625,50.1448555583147,69.13771923409983,67.31924556701863,72.62192564075744,120.7001855491688,6396,12
whisper->CTC,park,26.95252679938744,30.431372549019603,73.34453781512606,46.472021480404734,43.437500000003126,50.25504532552894,87.69545824896696,4571,8
whisper->CTC,ctrl,18.61998242015822,31.340206185567013,74.94845360824742,45.93188763594854,42.2343413719517,28.66570244087335,54.80294181396656,6826,12
whisper->MFA,rhap,19.08894190756256,71.28013730978792,85.72531130847473,18.292200976352767,10.800000000003251,-7.94029707827108,-6.490692331469663,90115,53
whisper->MFA,mon,21.70175209205021,66.77322611475465,83.933691460963,19.725470714383015,10.000999999995486,-9.169229893045554,-3.396606452407181,30592,68
whisper->MFA,cereb,28.141809290953542,66.76657924316224,82.05320344698389,20.56188045231302,10.001000000002591,3.4138835969759027,4.218340111420585,4090,7
whisper->MFA,sla,41.510318949343336,56.22051154705736,71.79869216124494,23.56647273202571,10.002000000000066,-655.6854511670942,-666.5922165686003,6396,12
whisper->MFA,park,26.95252679938744,74.10644257703082,87.7983193277311,16.4514594545324,9.999999999999789,6.946899353828449,8.16153520536355,4571,8
whisper->MFA,ctrl,18.61998242015822,78.36524300441828,91.48748159057436,13.83956177865287,9.999000000000535,-15.796005575712538,-13.730974564747813,6826,12
w2v->CTC,rhap,16.309160517117018,53.929553294189894,83.20218560416919,31.051748072665102,24.31249999997931,16.234986187127983,-41.83841145460839,90115,53
w2v->CTC,mon,16.870423640167363,39.348814147591106,72.58904222791504,39.1568272540612,31.56250000000327,32.01559924385687,-56.55467561436615,30592,68
w2v->CTC,cereb,22.885085574572127,25.57146445616679,62.67269530268776,46.35587679003964,39.0625,50.497394550561864,-46.77370321822812,4090,7
w2v->CTC,sla,36.632270168855534,20.230345518277417,53.36337840093474,52.87583298158623,44.858875635842566,56.2123542364413,-74.50774360196726,6396,12
